192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000710
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/js/jquery.js, HTTP/1.1, 304, 0.001818
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000605
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/js/calendar.js, HTTP/1.1, 304, 0.000579
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/js/web2py.js, HTTP/1.1, 304, 0.000536
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000865
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000575
192.168.0.104, 2016-03-11 11:28:25, GET, /AttendancePlus/static/js/share.js, HTTP/1.1, 304, 0.003250
192.168.0.104, 2016-03-11 11:28:26, GET, /AttendancePlus/static/images/background.jpg, HTTP/1.1, 304, 0.000865
192.168.0.104, 2016-03-11 11:28:26, GET, /AttendancePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000511
192.168.0.104, 2016-03-11 11:28:26, GET, /AttendancePlus/static/images/twitter.png, HTTP/1.1, 304, 0.001006
192.168.0.104, 2016-03-11 11:28:26, GET, /AttendancePlus/static/images/facebook.png, HTTP/1.1, 304, 0.000637
192.168.0.104, 2016-03-11 11:28:26, GET, /AttendancePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.000652
192.168.0.104, 2016-03-11 11:28:26, GET, /AttendancePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.000659
192.168.0.104, 2016-03-11 11:28:58, GET, /, HTTP/1.1, 200, 0.019111
192.168.0.104, 2016-03-11 12:01:14, GET, /, HTTP/1.1, 500, 0.083085
192.168.0.104, 2016-03-11 12:01:14, GET, /favicon.ico, HTTP/1.1, 404, 0.001567
192.168.0.104, 2016-03-11 12:01:15, GET, /admin/default/ticket/AttendancePlus/192.168.0.104.2016-03-11.12-01-14.5076e802-d62c-480c-ade3-26cc772c02bd, HTTP/1.1, 200, 0.057897
192.168.0.104, 2016-03-11 12:01:42, GET, /, HTTP/1.1, 500, 0.041554
192.168.0.104, 2016-03-11 12:01:43, GET, /admin/default/ticket/AttendancePlus/192.168.0.104.2016-03-11.12-01-42.34a09e50-c93b-4e4c-b71b-ffd96e913386, HTTP/1.1, 200, 0.052379
192.168.0.104, 2016-03-11 12:02:01, GET, /, HTTP/1.1, 500, 0.047236
192.168.0.104, 2016-03-11 12:02:03, GET, /admin/default/ticket/AttendancePlus/192.168.0.104.2016-03-11.12-02-01.b974889d-b114-4066-aafa-a8e2607113b8, HTTP/1.1, 200, 0.051517
192.168.0.104, 2016-03-11 12:02:51, GET, /, HTTP/1.1, 200, 0.034358
192.168.0.104, 2016-03-11 12:02:51, GET, /AttendancePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.000431
10.192.34.123, 2016-03-11 12:36:42, GET, /, HTTP/1.1, 200, 0.139458
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001167
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002011
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/js/jquery.js, HTTP/1.1, 200, 0.000605
